type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text
Sports Car,,Left Door Number Plate,*,,BGT Number,0.3,0.5,,0,100,,,,,,,,,,,,,350,,,
Sports Car,,Left Door Number Plate,*,,BGT Logo,0.25,0.25,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Rear Left Wheel Arch,*,,BGT Class,0.12,0.75,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Rear Right Wheel Arch,*,,BGT Class,0.88,0.75,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Front Bumper,*,,BGT Plate,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Front Bumper,*,,BGT Text,0.125,0.5,,0,110,,,,,,,,,,,,,125,,,
Standard Road Car,,Front Bumper,*,,BGT Text2,0.875,0.5,,0,120,,,,,,,,,,,,,125,,,
Standard Road Car,,Front Bumper,*,,BGT Logo,0.125,0.75,1,0,130,,,,,,,,,,,,,,,,
Standard Road Car,,Front Bumper,*,,BGT Logo2,0.875,0.75,1,0,140,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Bumper,*,,BGT Logo,0.1,0.25,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Bumper,*,,BGT Logo2,0.9,0.25,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Bumper,*,,BGT Logo3,0.125,0.5,1,0,120,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Bumper,*,,BGT Logo4,0.875,0.5,1,0,130,,,,,,,,,,,,,,,,
Standard Road Car,,Windscreen,*,,BGT Logo,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Windscreen,*,,BGT Number,0.125,0.5,,0,110,,,,,,,,,,,,,187,,,
Standard Road Car,,Bonnet,*,,BGT Number,0.3,0.5,,0,100,,,,,,,,,,,,,400,,,
Standard Road Car,,Bonnet,*,,BGT Logo,0.3,0.25,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Right Door Number Plate,*,,BGT Number,0.75,0.5,,0,100,,,,,,,,,,,,,300,,,
Standard Road Car,,Right Door Number Plate,*,,BGT Logo,0.75,0.25,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Left Door Number Plate,*,,BGT Number,0.25,0.5,,0,100,,,,,,,,,,,,,300,,,
Standard Road Car,,Left Door Number Plate,*,,BGT Logo,0.25,0.25,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Left Wheel Arch,*,,BGT Class,0.12,0.75,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Right Wheel Arch,*,,BGT Class,0.88,0.75,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Front Bumper,*,,BGT Plate,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Front Bumper,*,,BGT Text,0.125,0.5,,0,110,,,,,,,,,,,,,125,,,
Gran Turismo GT,,Front Bumper,*,,BGT Text2,0.875,0.5,,0,120,,,,,,,,,,,,,125,,,
Gran Turismo GT,,Front Bumper,*,,BGT Logo,0.125,0.75,1,0,130,,,,,,,,,,,,,,,,
Gran Turismo GT,,Front Bumper,*,,BGT Logo2,0.875,0.75,1,0,140,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Bumper,*,,BGT Logo,0.1,0.25,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Bumper,*,,BGT Logo2,0.9,0.25,1,0,110,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Bumper,*,,BGT Logo3,0.125,0.5,1,0,120,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Bumper,*,,BGT Logo4,0.875,0.5,1,0,130,,,,,,,,,,,,,,,,
Gran Turismo GT,,Windscreen,*,,BGT Logo,0.5,0.6,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Windscreen,*,,BGT Number,0.125,0.6,,0,110,,,,,,,,,,,,,187,,,
Gran Turismo GT,,Bonnet,*,,BGT Number,0.3,0.5,,0,100,,,,,,,,,,,,,570,,,
Gran Turismo GT,,Bonnet,*,,BGT Logo,0.3,0.25,1,0,110,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Door Number Plate,*,,BGT Number,0.75,0.5,,0,100,,,,,,,,,,,,,380,,,
Gran Turismo GT,,Right Door Number Plate,*,,BGT Logo,0.75,0.25,1,0,110,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Door Number Plate,*,,BGT Number,0.25,0.5,,0,100,,,,,,,,,,,,,380,,,
Gran Turismo GT,,Left Door Number Plate,*,,BGT Logo,0.25,0.25,1,0,110,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Left Wheel Arch,*,,BGT Class,0.12,0.75,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Right Wheel Arch,*,,BGT Class,0.88,0.75,1,0,100,,,,,,,,,,,,,,,,
Rally,,Left Door Number Plate,*,,BRC Number,0.375,0.35,,0,100,,,,,,,,,,,,,350,,,
Rally,,Left Door Number Plate,*,,BRC Text,0.37,0.23,,0,110,,,,,,,,,,,,,85,,,
Rally,,Left Door Number Plate,*,,BRC Sponsor,0.3,0.6,1,0,120,,,,,,,,,,,,,,,,
Rally,,Right Door Number Plate,*,,BRC Number,0.625,0.35,,0,100,,,,,,,,,,,,,350,,,
Rally,,Right Door Number Plate,*,,BRC Text,0.63,0.23,,0,110,,,,,,,,,,,,,85,,,
Rally,,Right Door Number Plate,*,,BRC Sponsor,0.7,0.6,1,0,120,,,,,,,,,,,,,,,,
Rally,,Left Rear Window,*,,BRC Flag No1,0.125,0.6,1,0,100,,,,,,,,,,,,,,,,
Rally,,Left Rear Window,*,,BRC Flag No2,0.125,0.8,1,0,110,,,,,,,,,,,,,,,,
Rally,,Left Rear Window,*,,BRC Driver,0.38,0.6,,0,120,,,,,,,,,,,,,65,,,
Rally,,Left Rear Window,*,,BRC Co Driver,0.38,0.8,,0,130,,,,,,,,,,,,,65,,,
Rally,,Left Rear Window,*,,BRC Number,0.87,0.5,,0,140,,,,,,,,,,,,,85,,,
Rally,,Right Rear Window,*,,BRC Flag No1,0.875,0.6,1,0,100,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,,BRC Flag No2,0.875,0.8,1,0,110,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,,BRC Driver,0.62,0.6,,0,120,,,,,,,,,,,,,65,,,
Rally,,Right Rear Window,*,,BRC Co Driver,0.62,0.8,,0,130,,,,,,,,,,,,,65,,,
Rally,,Right Rear Window,*,,BRC Number,0.13,0.5,,0,140,,,,,,,,,,,,,85,,,
Standard Road Car,,Left Door Number Plate,*,,BRC Number,0.325,0.33,,0,100,,,,,,,,,,,,,320,,,
Standard Road Car,,Left Door Number Plate,*,,BRC Text,0.472,0.33,,0,110,,,,,,,,,,,,,100,,,
Standard Road Car,,Left Door Number Plate,*,,BRC Sponsor,0.3,0.6,1,0,120,,,,,,,,,,,,,,,,
Standard Road Car,,Right Door Number Plate,*,,BRC Number,0.675,0.33,,0,100,,,,,,,,,,,,,320,,,
Standard Road Car,,Right Door Number Plate,*,,BRC Text,0.528,0.33,,0,110,,,,,,,,,,,,,100,,,
Standard Road Car,,Right Door Number Plate,*,,BRC Sponsor,0.7,0.6,1,0,120,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Window,*,,BRC Flag No1,0.125,0.6,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Window,*,,BRC Flag No2,0.125,0.8,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Window,*,,BRC Driver,0.38,0.6,,0,120,,,,,,,,,,,,,65,,,
Standard Road Car,,Left Rear Window,*,,BRC Co Driver,0.38,0.8,,0,130,,,,,,,,,,,,,65,,,
Standard Road Car,,Left Rear Window,*,,BRC Number,0.87,0.5,,0,140,,,,,,,,,,,,,85,,,
Standard Road Car,,Right Rear Window,*,,BRC Flag No1,0.875,0.6,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,,BRC Flag No2,0.875,0.8,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,,BRC Driver,0.62,0.6,,0,120,,,,,,,,,,,,,65,,,
Standard Road Car,,Right Rear Window,*,,BRC Co Driver,0.62,0.8,,0,130,,,,,,,,,,,,,65,,,
Standard Road Car,,Right Rear Window,*,,BRC Number,0.13,0.5,,0,140,,,,,,,,,,,,,85,,,
Rally,,Bonnet,*,,RallyNZ Number,0.5,0.35,,0,100,,,,,,,,,,,,,460,,,
Rally,,Roof,*,,RallyNZ Number,0.5,0.4,,180,100,,,,,,,,,,,,,460,,,
Rally,,Front Left Wheel Arch,*,,RallyNZ Flag1,0.6,0.2,0.5,0,100,,,,,,,,,,,,,,,,
Rally,,Front Left Wheel Arch,*,,RallyNZ Flag2,0.6,0.33,0.5,0,110,,,,,,,,,,,,,,,,
Rally,,Front Left Wheel Arch,*,,RallyNZ Driver1,0.8,0.2,,0,120,,,,,,,,,,,,,50,,,
Rally,,Front Left Wheel Arch,*,,RallyNZ Driver2,0.8,0.33,,0,130,,,,,,,,,,,,,50,,,
Rally,,Front Right Wheel Arch,*,,RallyNZ Flag1,0.4,0.2,0.5,0,100,,,,,,,,,,,,,,,,
Rally,,Front Right Wheel Arch,*,,RallyNZ Flag2,0.4,0.33,0.5,0,110,,,,,,,,,,,,,,,,
Rally,,Front Right Wheel Arch,*,,RallyNZ Driver1,0.2,0.2,,0,120,,,,,,,,,,,,,50,,,
Rally,,Front Right Wheel Arch,*,,RallyNZ Driver2,0.2,0.33,,0,130,,,,,,,,,,,,,50,,,
Rally,,Left Door Number Plate,*,,RallyNZ Number,0.5,0.375,,0,100,,,,,,,,,,,,,460,,,
Rally,,Right Door Number Plate,*,,RallyNZ Number,0.5,0.375,,0,100,,,,,,,,,,,,,460,,,
Rally,,Left Rear Window,*,,RallyNZ Number,0.35,0.35,,0,100,,,,,,,,,,,,,85,,,
Rally,,Left Rear Window,*,,RallyNZ Flag1,0.125,0.6,0.6,0,110,,,,,,,,,,,,,,,,
Rally,,Left Rear Window,*,,RallyNZ Flag2,0.125,0.8,0.6,0,120,,,,,,,,,,,,,,,,
Rally,,Left Rear Window,*,,RallyNZ Driver1,0.45,0.6,,0,130,,,,,,,,,,,,,60,,,
Rally,,Left Rear Window,*,,RallyNZ Driver2,0.45,0.8,,0,140,,,,,,,,,,,,,60,,,
Rally,,Right Rear Window,*,,RallyNZ Number,0.65,0.35,,0,100,,,,,,,,,,,,,85,,,
